gene,log2FC,moderated_t,p_value,FDR_per_contrast,significant_per_contrast,FDR_pooled,significant_pooled
SNTB2,0.0742268292682926,1.0793770459030372,0.2836606716830547,0.34352553153675663,False,0.3417459309859927,False
PPP2R5C,0.0886060037523464,1.078673259766238,0.2839724793710515,0.34388213877415513,False,0.34208520938209186,False
LOC644172,-0.3076653533458411,-1.078382436301006,0.28410139574322113,0.3440172400907044,False,0.34221971395620043,False
JMJD1C,0.08131744840525279,1.07814950618257,0.28420467822853174,0.34412128683027177,False,0.34233372523824357,False
KIAA1609,-0.09292057535959408,-1.0780861262937682,0.2842327856975313,0.3441343028543057,False,0.3423623815209378,False
F11R,-0.10786547842401895,-1.0779671596858647,0.284285549726283,0.34417716834839324,False,0.3424207356545132,False
C20orf70,0.08238292682926829,1.0776716546238299,0.2844166412513219,0.3443148518928197,False,0.3425526208185106,False
OR2T3,0.03742576610381488,1.0770868688449706,0.2846761858956761,0.34459058492218764,False,0.34283756908417556,False
PRAM1,-0.22880093808630342,-1.077080151291368,0.2846791682861148,0.34459058492218764,False,0.34283756908417556,False
CRH,0.09614727954971856,1.076747530315114,0.28482686886450265,0.344748321251992,False,0.34298419315229234,False
TBX18,0.39468430268918153,1.075756718090705,0.28526715266201313,0.3452601531455389,False,0.3434257260027976,False
HMGN5,0.20542757973733394,1.075511749126606,0.28537608092424616,0.3453709058969664,False,0.34354643150185826,False
GPR144,-0.05972088805503441,-1.0752426542944442,0.28549577004907883,0.34549466745974716,False,0.34367575914232323,False
LOC100132831,0.15351025641025684,1.0749217836463214,0.28563853342456874,0.34564633567355346,False,0.34383106546100606,False
PLA2G2E,0.025384615384615384,1.0748347791048611,0.28567725239192293,0.34566019019966504,False,0.3438724530408308,False
C6orf58,0.10520775484677924,1.0747858491055007,0.28569902892403304,0.34566019019966504,False,0.3438830068571702,False
OR52E2,-0.027392682926829268,-1.0747670101728741,0.2857074135865926,0.34566019019966504,False,0.3438878796586753,False
COG4,0.06739756097560701,1.0747393572084105,0.2857197214260118,0.34566019019966504,False,0.3438941761066959,False
RPL23AP82,0.1413167604752994,1.0744992222458867,0.28582661654992525,0.3457684117224247,False,0.34399480982904773,False
TWSG1,-0.17748692933083277,-1.074022483098165,0.28603891667623627,0.34600412214905796,False,0.34423464267102055,False
MAP2K7,0.0719360225140715,1.073767886695515,0.28615233727827194,0.34612020248179,False,0.34436591331324284,False
KLHDC10,0.08512557848655611,1.073726022549206,0.2861709903741325,0.34612164806964074,False,0.3443831351102476,False
CECR6,-0.2094237023139467,-1.0730105201113647,0.28648992085511105,0.3464862545521522,False,0.3447303232405809,False
THAP5,0.08570043777360681,1.0725861193214874,0.2866792102199112,0.3466903854666817,False,0.34495285913908746,False
WASH2P,0.13493001876172706,1.0725536883214992,0.28669367848916805,0.3466903854666817,False,0.3449650342736084,False
RBM15B,-0.0850207629768569,-1.0722791817474455,0.2868161627660085,0.3468173483165946,False,0.3450967057394902,False
NOP10,-0.11213696060037748,-1.0713682633230648,0.28722287061128843,0.3472879571104107,False,0.34553887334583766,False
KLHL15,0.10358899312070324,1.071194241865554,0.287300612994691,0.3473607728523444,False,0.34562191397304354,False
FAM71B,-0.027180487804878046,-1.0704509006206322,0.287632856309754,0.3477412652721009,False,0.34596387297390885,False
XPR1,-0.0953576610381539,-1.0699614214136175,0.2878517777682566,0.34798471622155214,False,0.34620093700345506,False
ARAP2,-0.12701482176360024,-1.0699017414749663,0.28787847768016184,0.3479957745556301,False,0.3462225476789135,False
PLXNA4,-0.33048536585365706,-1.0690956145259538,0.2882392935737687,0.34841069591473833,False,0.34660965182093795,False
