gene,log2FC,moderated_t,p_value,FDR_per_contrast,significant_per_contrast,FDR_pooled,significant_pooled
SNORA12,0.009737871396895803,0.22038170750972877,0.8258719233744987,0.852271025901544,False,0.8531107970767553,False
MCOLN3,-0.06053150776053329,-0.21989944785064752,0.8262468184072189,0.8526136611490432,False,0.8534748441785772,False
GGA3,0.014205410199554791,0.21972551143623895,0.8263820414830699,0.852708953404961,False,0.8535811690711199,False
PRAMEF12,-0.0035088248337028834,-0.21964775763935537,0.8264424911607249,0.8527270842437136,False,0.8536213719768442,False
AFM,-0.007805121951219511,-0.21900647610059323,0.8269410949830052,0.8531972791661232,False,0.8540918770630509,False
C9orf82,-0.017962283813748314,-0.21887889158561333,0.827040301832194,0.8532553684652855,False,0.8541632531039746,False
DIP2B,0.016394478935696455,0.2187203121227311,0.8271636135416851,0.853338319370415,False,0.8542660729320961,False
ICOS,-0.05233733924611972,-0.2182953016047106,0.827494123793456,0.8536350056997851,False,0.854562897089752,False
USP9Y,-0.15026822616408042,-0.21758306098389976,0.8280480682504099,0.854162141879553,False,0.8550904214351074,False
TPI1P3,0.022112328159645478,0.21725401221121157,0.8283040148093423,0.8543457225528528,False,0.8553072406454258,False
FAM128B,0.01775782705100859,0.21724380278569452,0.8283119563806283,0.8543457225528528,False,0.8553072406454258,False
SIPA1L1,-0.019143059866959078,-0.21717568839381213,0.8283649407457736,0.8543560614361166,False,0.8553508145738762,False
IFI44L,-0.07402465631929545,-0.21671218065690656,0.8287255119607023,0.8546724949367468,False,0.8556835716203217,False
AANAT,0.022641640798226004,0.21667080499193564,0.8287577006265513,0.8546724949367468,False,0.8557006612742072,False
CTAG1B,0.013947915742793748,0.21650950173054512,0.8288831910927656,0.8547540606614425,False,0.8557968049267112,False
DEFA1B,0.0427171396895788,0.21645864910277016,0.8289227542573832,0.8547540606614425,False,0.8558265105730627,False
IGFBP2,0.06898694013304052,0.2161955854803228,0.8291274238207655,0.854920779671466,False,0.856015534072123,False
SNORA25,0.00709971175166297,0.21572566051025827,0.8294930654260487,0.8552534525159597,False,0.8563261440600289,False
PRAMEF20,-0.005419246119733934,-0.21507880607355212,0.8299964342068663,0.855728087877648,False,0.8567342698504644,False
MANSC1,0.01945796008869216,0.21480665350263622,0.8302082388001117,0.8559020863150762,False,0.856930590123831,False
DDAH1,-0.020518248337026535,-0.21421460635988726,0.8306690465427382,0.8563327628736425,False,0.8573504355643881,False
DNAJB8,-0.0032794900221729487,-0.2138968287097445,0.8309164065212208,0.8565433639066721,False,0.857561097120756,False
CYorf15B,0.1374991796008871,0.21373836606584642,0.8310397610925121,0.8565821489205524,False,0.8576441898148757,False
