gene,log2FC,moderated_t,p_value,FDR_per_contrast,significant_per_contrast,FDR_pooled,significant_pooled
ARMC6,0.5154655284552856,7.0043325520114195,5.208337011995799e-10,2.117699090238292e-09,False,2.0811304398615148e-09,False
LOC284578,-1.9673891056910549,-7.0037233079697865,5.222778203269575e-10,2.123133089434674e-09,True,2.0865854036881127e-09,True
TM6SF1,-1.4444530623306253,-7.003669498908159,5.224055572635237e-10,2.123214672142763e-09,True,2.0869905955985333e-09,True
TUBB6,-1.2738841734417345,-7.001757498907783,5.269646227009149e-10,2.1413027734725e-09,True,2.1046737730999875e-09,True
TMEM48,0.7302762601626025,7.001670040403797,5.271741048694624e-10,2.1417126798569838e-09,False,2.1054044021034317e-09,False
MFSD10,0.5679388075880745,7.000856278069312,5.291272096102654e-10,2.149204649539533e-09,False,2.1125662906374912e-09,False
UBB,-0.47591658536585335,-6.999926644320671,5.313672065115474e-10,2.157858589869793e-09,False,2.1211892150000886e-09,False
RINT1,0.5688100813008088,6.999828041974118,5.316053449599464e-10,2.158381182336863e-09,False,2.121819431108943e-09,False
REXO2,0.8105355555555516,6.996998639156866,5.384840631687815e-10,2.18585955654351e-09,False,2.148517817746883e-09,False
TIA1,0.7230620054200578,6.993507719324113,5.470928787222057e-10,2.220348130973842e-09,False,2.1815758230965926e-09,False
CLEC2D,0.6326304607046094,6.992747169682289,5.489864852404174e-10,2.227574791963175e-09,False,2.1886599751410647e-09,False
INPP5J,-1.237563848238481,-6.99224572448516,5.502385337681432e-10,2.23219582100551e-09,True,2.1932105288474485e-09,True
LEAP2,-1.9500967479674811,-6.990926143679438,5.535469271947149e-10,2.2451553690415007e-09,True,2.2061757721504507e-09,True
MFAP2,1.7019228184281836,6.99071804833834,5.540704535690459e-10,2.246816644947889e-09,True,2.2081513266917743e-09,True
AURKAPS1,0.9252556639566394,6.989953474960229,5.559981908378723e-10,2.2541702967357815e-09,False,2.215611302256501e-09,False
GOLT1B,0.5609981571815688,6.989561848885285,5.56988183640621e-10,2.257719831735467e-09,False,2.2194448254163306e-09,False
SEH1L,0.6292956639566363,6.989181845248993,5.579504683837638e-10,2.2611556178643284e-09,False,2.2229441821002767e-09,False
C1QTNF3,-1.5373474796747955,-6.988418145602083,5.598893810352509e-10,2.2685470708886682e-09,True,2.2301088635670284e-09,True
SLC28A2,-3.709180867208672,-6.988310009642117,5.601644610677303e-10,2.269195392821619e-09,True,2.231092482573215e-09,True
FAM92A1,1.4946086178861817,6.987590651011293,5.619978078876517e-10,2.2761546049588196e-09,True,2.2377202468605883e-09,True
WDR45L,0.4581186449864525,6.9871654716251435,5.630842126235067e-10,2.2800863804795796e-09,False,2.241708353307961e-09,False
PCMTD2,0.8999277506775094,6.986285689548786,5.653388265564456e-10,2.2887459781755504e-09,False,2.2502323981746816e-09,False
AHCTF1,0.49824303523035063,6.98509955564921,5.683927156294887e-10,2.300637182309835e-09,False,2.2613663733648208e-09,False
NKAPL,-1.5021557723577237,-6.983848231551361,5.716321949986274e-10,2.3130349387179022e-09,True,2.273798444709392e-09,True
PRELID2,-0.8432234688346902,-6.983825859746779,5.716902784640495e-10,2.3130349387179022e-09,False,2.2739154299986447e-09,False
PPAP2C,0.8065620596205978,6.983576516891276,5.723380388685997e-10,2.3151807438951354e-09,False,2.2761494325477874e-09,False
KIAA0913,-0.6290197831978315,-6.983166235264541,5.734054830763108e-10,2.3190229955424215e-09,False,2.2801658942929223e-09,False
DENND3,-0.8145370731707313,-6.983007448115345,5.73819135321616e-10,2.320220083769175e-09,False,2.281581985838327e-09,False
NAA50,0.40556178861788617,6.981230011715568,5.784697489362757e-10,2.338545192501713e-09,False,2.299036031354235e-09,False
YRDC,0.6110861788617914,6.981168103878343,5.786324014574074e-10,2.338723295089173e-09,False,2.2995672245140687e-09,False
CHMP1A,-0.5306686178861835,-6.979983386341911,5.817538092004112e-10,2.35085760603117e-09,False,2.3110456386730156e-09,False
DENND1C,-0.8821468834688364,-6.979704677663532,5.82490555287472e-10,2.353352540518121e-09,False,2.3138564915106026e-09,False
CALM2,-0.5388766937669427,-6.979546898664224,5.829080429760696e-10,2.3545568634756432e-09,False,2.315398920118919e-09,False
CXXC5,0.767518807588079,6.979230038021344,5.837473624169176e-10,2.357464261081633e-09,False,2.31861668982827e-09,False
NMRAL1,0.6212676964769628,6.978787959926674,5.849203696747719e-10,2.3617177907425272e-09,False,2.322926786353253e-09,False
TOMM5,0.7081868834688354,6.978651400813807,5.85283187456272e-10,2.362698967581921e-09,False,2.3241348904928243e-09,False
