gene,log2FC,moderated_t,p_value,FDR_per_contrast,significant
GPR179,-0.13916616919665747,-0.9056098080970261,0.3658097625257293,0.4251382876559745,False
CT45A1,0.16503424867815103,0.9053940069206706,0.36592386471604155,0.42524624630827296,False
FLJ12825,0.16198574108818042,0.9045633244856697,0.36636328593032474,0.4257216693822171,False
FASTKD5,-0.0842677213030818,-0.9045403730139944,0.36637543168030706,0.4257216693822171,False
IRF9,-0.11113912672692194,-0.9043468990076009,0.3664778267286068,0.42581597275779826,False
NAPSA,-0.1930452413440218,-0.9038889779960181,0.36672025032043987,0.4260729569985988,False
ZNF236,0.07533778782193679,0.903611382539188,0.36686725837062956,0.42621905958576445,False
HMG20A,0.053061367900394174,0.9033715993900228,0.36699427161199516,0.42634191701839635,False
HACE1,-0.07636278355790616,-0.9030765748193766,0.367150584034675,0.42649879547481073,False
TMEM93,-0.07606120586730114,-0.9029239964316064,0.3672314407615956,0.42656800806847756,False
HFM1,-0.14238808630393973,-0.9024634077318368,0.3674755907417216,0.42682687952563536,False
FAM90A7,-0.03474234180453692,-0.9021497097198423,0.36764193469115347,0.4269953536788291,False
HIST1H3D,-0.15606092444140973,-0.9018898476929835,0.3677797668280212,0.4271306953719778,False
SPO11,0.03607132867132867,0.9015521631018193,0.367958924743547,0.4273140133859321,False
CXorf58,0.06903780487804884,0.9014116816370166,0.3680334729935957,0.4273758330546504,False
ACTL7B,0.046216945249872035,0.9011440100235752,0.3681755424364239,0.42751604944983496,False
NPBWR1,0.06162459491727773,0.900975297361726,0.36826510602403145,0.4275952846758067,False
ASB1,-0.06545437489339534,-0.9006220236117793,0.3684526906964606,0.42778831712687676,False
METRN,-0.1893594831997314,-0.8999778252258952,0.36879490706803086,0.4281608504177197,False
SLC25A31,0.0320371396895787,0.8999173066702276,0.3688270664378058,0.4281733936701989,False
LOC646982,0.10599668258570694,0.8998392532599163,0.3688685463618312,0.42819675512706784,False
EML3,0.06490942350332496,0.899793898863116,0.3688926503881252,0.42819994443825105,False
TMEM184A,-0.1206484564216268,-0.8993667922146579,0.3691196885621713,0.4284386798466791,False
VGLL2,0.054252959235886015,0.8990881622511355,0.36926784764636644,0.42858583764455266,False
C17orf101,-0.06773865768378151,-0.8989887795261964,0.36932070254147686,0.42860661644233733,False
PALM2-AKAP2,-0.1345648985161212,-0.8989741105821489,0.36932850435283104,0.42860661644233733,False
PPP1R2P3,0.06775984137812952,0.8988519476065508,0.36939348184135506,0.42865721211478003,False
MYST1,0.056769691284324963,0.8986883741282522,0.3694804964177821,0.42873337306421266,False
RBP4,0.26090243049633166,0.8978107512567354,0.36994757539236744,0.42925051427181526,False
C11orf35,-0.13192455227699096,-0.8976961198560437,0.37000861048240136,0.4292964897964323,False
THEG,0.10001883847859455,0.8965167778991611,0.3706369119112339,0.4299772966675939,False
C8A,0.04443466655295926,0.896514201554356,0.3706382852022955,0.4299772966675939,False
C5orf27,-0.10951609244414207,-0.8959587350261997,0.3709344443731865,0.4302959737145562,False
FATE1,0.13141170902268406,0.8953744063861031,0.37124615122533466,0.43060993944190046,False
SNORA44,-0.01355544942862016,-0.8953708468629435,0.3712480505333013,0.43060993944190046,False
KLHL7,0.07814368923759218,0.8951821122155339,0.3713487651742737,0.4307018419473701,False
ZNF628,0.06321013133208986,0.8950795329957206,0.37140351175874825,0.43074042172390686,False
RHOV,0.21289558246631302,0.894996020540523,0.3714480861151753,0.43076720033600935,False
RNPC3,0.0824876684291258,0.8948823205227494,0.371508778291748,0.4308126665557864,False
ZBTB32,-0.15553146853147082,-0.8947712538150004,0.3715680707944807,0.4308565045069306,False
MBNL2,0.07888584342486205,0.894409074665797,0.37176145959834805,0.4310332895656017,False
KRTAP1-3,0.05098321678321678,0.8944052071893823,0.3717635250103716,0.4310332895656017,False
DDI1,-0.015009687873102504,-0.8936808663784785,0.3721504826890115,0.4314569895868325,False
SMEK3P,0.0745437062937063,0.8930728827077754,0.37247547354996124,0.43180880281449685,False
TCF15,-0.15419244414122568,-0.8929162848813664,0.37255920976925616,0.4318809063294164,False
HIST2H2BE,-0.14709533515265782,-0.8925306689962241,0.37276545680948964,0.43209501121756766,False
IGSF22,-0.20775574791062423,-0.8924274464021692,0.37282067757040543,0.43211572355777833,False
GRK7,0.08802146512024533,0.8924166959308424,0.37282642901875346,0.43211572355777833,False
AFAP1,-0.08680302746034307,-0.8922757115695987,0.3729018600562066,0.43217816729057473,False
TAS2R9,0.021517746887259086,0.8918082416206785,0.3731520390207472,0.432443117875613,False
LYG2,0.0681492495309568,0.8917315003418057,0.3731931191301919,0.4324657287342704,False
CHCHD4,0.05972676104383012,0.8910101549760121,0.37357939751947644,0.4328883384537654,False
INADL,-0.0692536158962973,-0.8907887035106246,0.37369803400668106,0.4330007848956285,False
ZNF19,0.06964037182329541,0.8904955212503908,0.37385513430744205,0.433157783465138,False
CSNK1A1L,-0.11219119904485897,-0.8903308476003707,0.37394339189129705,0.43323500562929074,False
ADD3,-0.08406593041104848,-0.890219630780324,0.37400300637250805,0.43327655085342187,False
SCGB1A1,-0.09230990107453524,-0.890183320071271,0.3740224709312232,0.43327655085342187,False
RFPL3,-0.06650727443288418,-0.8900188003770253,0.3741106705219925,0.433353685595121,False
MGRN1,0.04975214907045178,0.8896764110957818,0.37429426806352323,0.43354130991759915,False
C2orf51,0.01541013986013986,0.8889976298114493,0.3746584127245845,0.4339380264067887,False
OR2T4,-0.009539092614702371,-0.8887980489187753,0.3747655233964035,0.4340370115583347,False
OR52I1,0.035474722838137476,0.887216136823775,0.3756151733450997,0.4349959120643013,False
ABCA13,0.24412891011427273,0.8871320843218111,0.37566035162025935,0.43502310557850293,False
CDR1,0.11655291659559952,0.8867956286238441,0.37584123053383744,0.435207431256335,False
PDCD1,-0.2089309653760889,-0.886410761297013,0.37604820181449333,0.43542194770042686,False
C1orf146,0.02056685144124169,0.8857454483275999,0.37640615587124393,0.4358112505178981,False
RBMS2,-0.07722707658195205,-0.8851818403417754,0.376709555445576,0.4361373476546829,False
