"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","significant"
-0.23958193597561,10.0364723404255,-4.11195674657817,4.96295832134988e-05,0.000102103952637853,0.594654694555238,"ZC3H14",FALSE
-0.916884298780488,6.20825592705167,-4.11137247148886,4.97491667703585e-05,0.00010233971881718,0.592368332529044,"TRPS1",FALSE
0.553645138888889,0.637849848024316,4.11124476897021,4.97753401521906e-05,0.000102383301605498,0.591868651134374,"FGF8",FALSE
-0.391913931233062,0.610038601823708,-4.11056081228418,4.99157444173787e-05,0.000102661814555078,0.589192666277673,"LOC285456",FALSE
-0.652844698509485,1.30758601823708,-4.11010749003463,5.00090112150245e-05,0.000102843333691721,0.587419261376014,"FAM106C",FALSE
-0.273666886856369,12.7197009118541,-4.10903038761395,5.02312809105009e-05,0.000103290083843408,0.583206324584125,"EIF3L",FALSE
-0.846078023373984,3.29683100303951,-4.10861997637699,5.03162201687027e-05,0.000103454381578715,0.581601319966258,"IL12RB2",FALSE
0.355982571138211,8.79003951367781,4.10828426614463,5.03858008751829e-05,0.000103587071096285,0.58028855779368,"C1orf31",FALSE
-0.755836534552845,5.18737781155015,-4.10807241163115,5.04297578682485e-05,0.00010366706008162,0.579460171143835,"LOC650623",FALSE
1.63587018123306,2.78449574468085,4.10795290563708,5.04545698775131e-05,0.000103707681175946,0.578992899678979,"PADI3",TRUE
0.743490904471545,1.23485653495441,4.10783532593919,5.04789932901523e-05,0.000103747495469699,0.57853317204735,"ESPNP",FALSE
0.276337660907859,9.41495410334347,4.10745984515421,5.05570627793945e-05,0.000103897547433531,0.577065150350534,"CISD2",FALSE
0.405973975271003,5.04617659574468,4.10740608280252,5.05682503837021e-05,0.000103910137161186,0.576854964950312,"C3orf34",FALSE
0.341186856368563,11.6384534954407,4.10677553240225,5.06996399910896e-05,0.000104162940614279,0.57438999596346,"SAP18",FALSE
0.223352964092141,8.79436504559271,4.10676697429609,5.07014255021184e-05,0.000104162940614279,0.574356542672981,"KLHL18",FALSE
-1.20958610264228,5.70205015197568,-4.10608727526425,5.08434251203916e-05,0.000104444218303146,0.571699827510991,"GPC3",TRUE
-0.259823060636857,9.53079756838906,-4.10588586999001,5.08855744616642e-05,0.000104520344542068,0.570912678145048,"SDF2",FALSE
0.287625558943089,7.61362066869301,4.10544639615003,5.09776614262664e-05,0.000104699018515531,0.569195209714302,"PACRGL",FALSE
-0.241099915311653,9.85762158054711,-4.10534562562525,5.09987991446817e-05,0.000104731954230301,0.568801420807596,"ATP5SL",FALSE
-0.584245079607046,9.21544650455927,-4.10442326734085,5.1192662002934e-05,0.000105119559003824,0.565197453962491,"LMO4",FALSE
-0.380524703590786,5.09391094224924,-4.10361991495748,5.13620834754135e-05,0.00010545690306533,0.562059078826597,"LOC100130093",FALSE
-0.479261382113821,8.16044224924012,-4.10196083692982,5.17136626789274e-05,0.000106168149479838,0.555579481558344,"DNAJC22",FALSE
0.498009214092141,6.41759361702128,4.10148333686771,5.18152747030712e-05,0.00010636612235317,0.553715023609652,"LOC100286793",FALSE
-0.556327083333333,7.01220243161094,-4.10145129251277,5.18221005440147e-05,0.000106367124526425,0.55358990948162,"GTF2IRD2P1",FALSE
0.881536839430894,3.56736990881459,4.10143240123622,5.18261250188908e-05,0.000106367124526425,0.553516150707131,"C6orf154",FALSE
0.709396011178862,1.43493981762918,4.1013812147179,5.18370309577024e-05,0.00010637887300696,0.553316300487926,"LRRC69",FALSE
0.43670502201897,8.27793647416413,4.10055630030421,5.20130910782256e-05,0.000106729511227983,0.550095854088261,"FCHSD1",FALSE
-0.514409586720867,10.0360571428571,-4.10029124363534,5.20697824246569e-05,0.000106835162220488,0.549061203191877,"FUT2",FALSE
1.17273387533875,2.92073161094225,4.10015313523301,5.20993448897083e-05,0.000106885135463747,0.548522119817689,"NPW",TRUE
0.342617013888889,10.0551200607903,4.09984551272594,5.21652497337187e-05,0.000107009649983338,0.547321424982484,"CECR5",FALSE
0.271436204268293,9.4110829787234,4.09971199567147,5.21938790317181e-05,0.000107057681738553,0.546800314037658,"RHOT1",FALSE
1.09773168191057,7.68350790273556,4.09853148061097,5.24476617283146e-05,0.000107567482046184,0.542193484170322,"PRRX1",TRUE
-0.290621019647696,9.77604984802432,-4.09823552190353,5.25114697388909e-05,0.000107687591023817,0.541038725649837,"SSBP3",FALSE
0.229865049119241,10.919385106383,4.09820877135765,5.25172407346307e-05,0.000107688668825606,0.54093435526807,"SUMO1",FALSE
-0.0444094935636856,0.00715896656534954,-4.09769202576342,5.26288387503339e-05,0.000107906727209064,0.538918332574842,"C21orf94",FALSE
-1.15278743224932,2.95835349544073,-4.09619646420751,5.2953098489571e-05,0.000108560726182434,0.533084866414817,"DOC2B",TRUE
-0.175515514905149,0.0624255319148936,-4.0958411582148,5.30304131489253e-05,0.000108708375631297,0.531699271196758,"C1orf65",FALSE
-0.694086534552845,1.26373252279635,-4.09547844691484,5.31094500332712e-05,0.000108859525677222,0.530284909221071,"MED12L",FALSE
-0.730855259146342,5.04913860182371,-4.09274737774343,5.37081766996073e-05,0.000110075757975735,0.519638966993599,"MEF2B",FALSE
-1.0939300050813,8.05293708206687,-4.0925491443353,5.37518841713885e-05,0.000110154340391157,0.518866485673287,"GSTM3",TRUE
-0.279342327235773,0.237859574468085,-4.09175419055869,5.39274998105354e-05,0.000110503201029074,0.515769027551884,"SPIC",FALSE
0.329156664972899,9.15121762917933,4.0909516845532,5.41053376663212e-05,0.00011085654513868,0.512642693888286,"DMTF1",FALSE
-0.426635560636857,10.8496732522796,-4.08989492585264,5.43403703115293e-05,0.000111326358457663,0.508526708992719,"STX3",FALSE
-0.433376448170732,4.43454802431611,-4.08987198678769,5.43454829256062e-05,0.000111326358457663,0.508437373939338,"C3orf71",FALSE
-1.03462090955285,3.97813556231003,-4.0893269056703,5.44671043173538e-05,0.000111564367119153,0.50631471558533,"SLC6A12",TRUE
0.288092267953929,12.6676170212766,4.08916262358102,5.45038105820517e-05,0.000111628414929122,0.505675017321555,"ARL6IP1",FALSE
0.261166344850949,9.75421246200608,4.08910088023721,5.45176122530311e-05,0.000111645544095235,0.505434600825258,"PHIP",FALSE
0.375181631097561,0.390916717325228,4.08875144828027,5.45957845067062e-05,0.000111794479944412,0.504074042938286,"MOGAT1",FALSE
-0.903659840785908,7.46898844984802,-4.08858356111144,5.46333808737879e-05,0.000111860308102011,0.503420390171034,"SLA",FALSE
-0.497536576897019,10.8374006079027,-4.08801486834731,5.4760916143957e-05,0.000112110252137559,0.50120641890905,"CHD3",FALSE
0.321851448170732,10.1592252279635,4.08715709330095,5.49538172476266e-05,0.000112493954341786,0.49786755075954,"MAN2A2",FALSE
-0.277489219173442,11.6739866261398,-4.08486655305677,5.54721005042751e-05,0.000113543591560595,0.48895477996609,"CCNI",FALSE
-1.05027638888889,3.12530911854103,-4.08454395621707,5.55454675067725e-05,0.000113682429260696,0.487699878876772,"RNF212",TRUE
-0.371711458333333,7.82111124620061,-4.08364341482169,5.57507632951371e-05,0.000114091225124518,0.484197248226319,"KLHL22",FALSE
0.239208130081301,10.1988565349544,4.08289242555379,5.59225177414085e-05,0.000114431305614583,0.481276829770857,"UBE2M",FALSE
-0.442549703590786,0.622515501519757,-4.08227678797359,5.60636921383489e-05,0.000114708750209319,0.478883123630912,"SUGT1P1",FALSE
-0.627571426151762,9.01590729483283,-4.08180040312527,5.61731665949669e-05,0.000114921286516659,0.477031080103472,"PLEKHO2",FALSE
-0.356146536246612,8.30733890577508,-4.08112000658334,5.63298762568799e-05,0.000115230406492003,0.474386237909438,"GLTSCR1",FALSE
0.308334739159891,10.5713051671733,4.08102278186027,5.63523031002994e-05,0.000115264798510426,0.474008337804348,"CARHSP1",FALSE
-0.255871180555556,9.91881550151976,-4.07999965264176,5.6588824220064e-05,0.0001157370553136,0.470032057996229,"DENND1A",FALSE
0.471631444783198,10.6788006079027,4.07909352042938,5.67990871360572e-05,0.000116155519364803,0.46651122623157,"PKN1",FALSE
-0.536223382452574,8.21563495440729,-4.07798245241494,5.70579189183681e-05,0.000116673214680687,0.462195068102939,"MAML2",FALSE
-0.391464405487805,9.02856869300912,-4.07606763214985,5.75066266645854e-05,0.000117579030517273,0.454759071974306,"R3HCC1",FALSE
1.08077644817073,3.54297294832827,4.07581949086908,5.75650197731272e-05,0.000117686701448148,0.453795673241857,"SHC3",TRUE
1.12159824695122,1.29972948328267,4.07446233987116,5.78853866319688e-05,0.00011832988027027,0.448527525491145,"C19orf41",TRUE
-0.912847603319783,1.89652127659574,-4.07419663082196,5.79483077275111e-05,0.000118446710239526,0.447496289685696,"IL22RA2",FALSE
0.342700694444444,8.77649331306991,4.07343212663629,5.81297089108828e-05,0.000118805666893024,0.444529533253374,"SFI1",FALSE
-0.989192809959349,1.47570972644377,-4.07284524300565,5.82693307975744e-05,0.000119079171936512,0.442252397459984,"RTBDN",FALSE
0.242449771341464,10.1714015197568,4.07281462044389,5.82766247746949e-05,0.000119082224208668,0.442133588633722,"WBSCR16",FALSE
-0.455629988143631,10.0852872340426,-4.07254505289369,5.83408704641171e-05,0.000119201639194698,0.44108776046339,"SMAD3",FALSE
-0.212774898373984,0.114711854103343,-4.07249483843922,5.83528454533996e-05,0.000119213675858285,0.440892952787073,"HMX1",FALSE
-0.401861424457995,11.0945088145897,-4.07247165408341,5.8358375176608e-05,0.000119213675858285,0.440803009487809,"CDCP1",FALSE
-1.06069545223577,3.92547872340426,-4.07210237706206,5.84465190342013e-05,0.000119381856111049,0.439370468175571,"NAV3",TRUE
-0.262180572493225,10.4292972644377,-4.07182087449682,5.85137968006297e-05,0.000119507386422297,0.438278510338457,"IPO8",FALSE
-0.321885120257453,6.76434285714286,-4.07177405216691,5.85249942575062e-05,0.000119518365871541,0.438096891576111,"LOC284441",FALSE
-0.476210433604336,8.76573981762918,-4.06961277873984,5.90440825422993e-05,0.000120566442668928,0.42971559946827,"ENOSF1",FALSE
-0.407912508468835,9.69802401215805,-4.06871445336703,5.92611257228195e-05,0.000120997604285379,0.42623312929173,"ARL4A",FALSE
-0.206001524390244,8.2289094224924,-4.06847937508624,5.93180478386607e-05,0.00012110178223227,0.425321933764294,"MTRF1L",FALSE
-0.582029429200542,7.17107872340426,-4.06835510875495,5.93481588364271e-05,0.00012115120820442,0.424840279714226,"RAMP2",FALSE
-1.44367268800813,3.70877203647416,-4.06816192199532,5.93949988307633e-05,0.000121234770928174,0.424091517734671,"STK33",TRUE
-0.228029454607046,10.1333705167173,-4.06667949971559,5.9755598510731e-05,0.000121958687486361,0.418346947868094,"FAM20B",FALSE
0.307807325542005,7.47773860182371,4.06616131757649,5.98821369594688e-05,0.000122204798387465,0.416339374280768,"PHTF1",FALSE
-0.299633943089431,8.9450820668693,-4.06583331620876,5.99623655522343e-05,0.000122356362666471,0.415068730418041,"C17orf85",FALSE
0.402753133468835,11.1993595744681,4.06578880892676,5.99732598349386e-05,0.000122366430571585,0.414896320883604,"KIAA0182",FALSE
0.363820689363144,0.539922796352584,4.06514349336924,6.01314288421187e-05,0.000122676958573854,0.412396729392378,"HIST1H4B",FALSE
0.408550897696477,0.432778723404255,4.06500354324141,6.01657834061654e-05,0.000122734850290995,0.411854688206877,"OR5M11",FALSE
-0.366893495934959,10.0100556231003,-4.06439506878474,6.03153671723862e-05,0.000123027768310888,0.40949820039538,"PPP4R1",FALSE
-0.552724745934959,9.70828267477204,-4.06431477586138,6.03351323096401e-05,0.000123055857969095,0.409187267369568,"CCDC64B",FALSE
0.314475990853658,9.16010060790274,4.06397517651091,6.04187972177779e-05,0.000123214255178403,0.407872235876094,"PHF5A",FALSE
-1.04727265413279,8.30366291793313,-4.06331629987125,6.05814352656568e-05,0.000123533657727844,0.405321149383775,"GUCY1A3",TRUE
0.608598238482385,5.29166200607903,4.06155342679455,6.10186354480372e-05,0.000124412810184547,0.398497367920332,"LTB4R2",FALSE
0.26762241700542,9.45231519756839,4.06127070817954,6.10890295217157e-05,0.000124543969819347,0.39740326140556,"CBLL1",FALSE
0.570886195799458,5.3014179331307,4.06109642533928,6.11324626618213e-05,0.000124620142830622,0.396728830075607,"KCNMB3",FALSE
-0.54052227303523,1.01885227963526,-4.06098404300454,6.11604851106873e-05,0.000124664888733361,0.396293952213647,"ARRDC5",FALSE
-0.354796934281843,9.09413495440729,-4.06053989893016,6.12713516928493e-05,0.000124878472178516,0.394575386211698,"ZFYVE26",FALSE
-0.32986222899729,12.9887671732523,-4.06026295569963,6.13405785736315e-05,0.00012500715486566,0.393503871266856,"TGOLN2",FALSE
0.391619173441734,11.0810936170213,4.06012013781078,6.13763075091994e-05,0.000125067552671351,0.392951323547853,"NCOA6",FALSE
