"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
1.47644932981762,9.95431118421053,18.6513967103941,4.80188846625139e-41,7.19582264322197e-39,82.8465959329555,"RRP12"
1.40870173588222,9.62494736842105,18.6368706568104,5.21393650761262e-41,7.75667510878892e-39,82.7646263947616,"DNAJC2"
1.34441232696111,8.67291381578947,18.6323919191614,5.34800386784012e-41,7.89888628825595e-39,82.739347964925,"ZMYND19"
-2.68513550867941,10.2573493421053,-18.5831512820883,7.07105751379893e-41,1.03692007684494e-38,82.4612670789055,"METTL7A"
2.64135557020435,9.34772368421053,18.580585538212,7.17476978429417e-41,1.04466683455007e-38,82.4467692006884,"TNFRSF12A"
-3.92467068776093,2.66974539473684,-18.5756363543631,7.37915850462723e-41,1.06686002887322e-38,82.4188012888995,"ZNF536"
1.73424133157548,8.92265986842105,18.5431139791469,8.87566312672088e-41,1.27424730064042e-38,82.234942402252,"SLC39A10"
1.53498971654581,11.2426513157895,18.5412818439739,8.96850716745809e-41,1.27863508436052e-38,82.2245809408279,"DKC1"
-6.70881733684904,4.6304125,-18.5387671149405,9.09753129115583e-41,1.28808494763744e-38,82.2103584693541,"ABCA8"
1.58208050977807,7.43421315789474,18.5184968770712,1.02079568852962e-40,1.43540654010363e-38,82.0956885626727,"TMEM206"
-4.36483278400352,2.03558684210526,-18.5039270768431,1.10892460004789e-40,1.54872258768594e-38,82.0132354061418,"PHOX2B"
-2.07070131839156,0.949230921052632,-18.4786522503744,1.28031027616917e-40,1.77599797092926e-38,81.8701391939359,"MAGEE2"
2.75852164359481,3.45520526315789,18.3685341936472,2.3967838911351e-40,3.30241431442977e-38,81.2457872607489,"SPATA12"
-1.83270582289607,8.9935302631579,-18.3499459015642,2.66476414489558e-40,3.64717385964709e-38,81.1402494698639,"ETFDH"
4.38056860030762,5.55261907894737,18.3364967173487,2.87722620851339e-40,3.91188437488608e-38,81.0638636478755,"EPHX4"
