gene,log2FC,FDR_per_contrast
TMEM59L,-3.559722027972028,3.4992457165260075e-35
CFD,-3.850621644209452,3.561209965942996e-35
ALK,-2.2449617260788,3.857050872201336e-35
ADAMDEC1,-4.214672539655465,4.214615225790266e-35
C1orf150,-2.555152848371141,4.2320241596654714e-35
C14orf180,-3.104303138325089,4.401270379271039e-35
BMX,-3.7460508186935,4.938711626511538e-35
STMN2,-4.584564642674398,5.037953918770241e-35
GNG13,-3.3444104553982594,5.748192316488896e-35
CDHR5,-2.926002532833019,9.528787017079447e-35
MYOM1,-3.468534299846496,9.529379577358131e-35
FAM176A,3.4563754136107803,1.0479676661466015e-34
NR5A2,-2.7273366706464346,1.1554355629699884e-34
SSTR2,-2.8121121865938927,1.1923960984630246e-34
FOSL1,3.4934680624253733,1.327796924405359e-34
EGFL6,3.375899624765475,1.3563064204932491e-34
SCD,2.5986671584512955,1.505932050148901e-34
KLHL35,2.988822190005116,1.6693223327405116e-34
SNTB1,2.1007926317584857,1.6875170617055027e-34
C12orf53,-2.7687837199385967,1.7421358054050487e-34
TGFBI,2.7987236227187537,2.279763918908016e-34
PDZD4,-3.488207931093295,2.3666628501568563e-34
GREM2,-5.020515418727613,2.713220131378744e-34
TAGLN3,-3.45006067712775,2.836823174718276e-34
B4GALNT2,-6.672419034623915,3.05831870417408e-34
SLC10A2,-3.014525251577691,3.120143394306265e-34
SLC17A4,-4.274391847177217,3.259019574731663e-34
TRPV3,-3.495687770765821,4.234076312659737e-34
EMILIN3,-2.499893885382912,4.361203759251788e-34
CWH43,-6.167028568991983,4.805563805647019e-34
NRSN1,-2.479586696230599,4.941652759937349e-34
FAM163B,-2.068580607197681,4.974917351361229e-34
HPGD,-3.5392315538120407,5.178614750262322e-34
ANO5,-4.584734862698279,5.276332909965073e-34
MADCAM1,-4.188690098925463,5.305165726196803e-34
C2orf70,3.310322462902952,6.864152109436047e-34
HRASLS2,-3.942141932457786,6.925859612257024e-34
HTR3C,-2.684432338393313,7.067855545302559e-34
CLDN2,5.982495710387168,8.22905210746683e-34
CNGA3,-3.569411632270168,8.270788426326844e-34
GRHL1,2.4195954289612835,8.796455567594102e-34
STAB2,-3.000860498038547,8.872242044672078e-34
PTPRH,-2.2828724970151804,1.0605846153344493e-33
SH3TC2,3.132652038205697,1.1871512954447841e-33
CPM,-2.915586994712606,1.2064378212379754e-33
C21orf88,-3.942269273409517,1.2150479813412485e-33
COL10A1,6.32109748422309,1.2440427579902789e-33
FGL2,-3.231245224287912,1.2654849772812364e-33
FAM150B,-3.064471413951902,1.4308492820606809e-33
MALL,-2.3006637045880893,1.5127335599938045e-33
WDR78,-2.726549718574109,1.5322451487048386e-33
FMO4,-2.0324689749275078,1.5322451487048386e-33
LOC646851,2.182039672522602,1.6544040124464352e-33
CCDC19,2.0777713883677285,1.7597921273032017e-33
C6orf186,-2.828374108818013,1.7606909888892637e-33
CUX2,-2.062373469213714,2.0083524037508094e-33
STRA6,4.707559363806926,2.078009997284556e-33
ATP2B3,-2.162766800272898,2.260008041515963e-33
CD163L1,-3.693669094320312,2.4878378461536258e-33
SGK1,-2.501781212689746,2.9415891101353204e-33
NOVA1,-3.628518693501619,3.0476529735259282e-33
CNTD2,3.5668836602421985,3.679919851116148e-33
GSN,-2.0533797970322265,3.8995408979209385e-33
PBLD,-2.53859768889647,4.0984858355755e-33
CHODL,-3.3588572914889983,4.907008811965377e-33
DNASE1L3,-5.077651074535226,4.9196337267718256e-33
HTR4,-4.1098186764455065,5.3284094887047005e-33
JPH4,-2.6902792682926817,5.358011109469665e-33
SECTM1,-3.476339263175852,7.278239526862084e-33
FHL1,-3.328920714651197,9.594103682431311e-33
TSPAN7,-3.3206953777929336,9.645816443320295e-33
ABCA9,-3.494935382909772,1.0149297617959957e-32
ARHGAP20,-3.059572966058331,1.0796484858857806e-32
PADI2,-4.170709739041449,1.1298547184622595e-32
ABCB5,-2.891159875490363,1.247069446711079e-32
ACSM5,-2.6441714224799595,1.3091381945760278e-32
NEFL,-4.28087078287566,1.3332092938606642e-32
MSX1,2.72898865768378,1.4388589000115556e-32
EDN3,-4.540552404912161,1.8556054159578318e-32
CEACAM1,-2.393628159645237,1.943522220753152e-32
BAALC,-2.967945889476376,1.9517346405636135e-32
ANGPTL1,-4.898893638069248,2.065925819838344e-32
SFRP5,-3.985379276820741,2.4100204824559304e-32
WSCD1,-3.782326087327308,2.7948055816166497e-32
FAM19A2,-2.1587317243731885,3.168243401662353e-32
MT1G,-4.033974680197854,3.462499096934024e-32
SLC23A1,-3.566952012621524,3.881319798165469e-32
PDE2A,-2.9166405509125006,4.129464418755233e-32
AFF3,-3.367090567968617,4.3373060029789156e-32
SNAP91,-2.9560834640968787,4.3373060029789156e-32
SCN2B,-3.603709449087497,4.408790210648311e-32
PTPRZ1,-3.62233621865939,4.4650081386022427e-32
PTN,-2.86531668940815,4.990841076799201e-32
CLEC4G,-2.8584055944055944,5.372452664960873e-32
DIRAS2,-2.47020899710046,5.417365616905384e-32
GDPD3,-2.814919341633968,5.495659854346309e-32
PKD1L2,-2.226985451134232,5.802435178491501e-32
DPYSL5,-2.7170249786798566,5.886539145643896e-32
CLIC5,-2.3194127835579064,6.13661367758924e-32
BEND4,-2.7702095428961298,6.512438336269234e-32
ABI3BP,-3.850919136960599,6.710217047394093e-32
NR1H4,-4.848673298652566,6.774273515607513e-32
RUNDC3B,-2.8948385468190345,6.901339032246828e-32
CCDC69,-2.6413391437830462,7.434616968214008e-32
CXCL12,-2.9155534794473805,7.447423833123522e-32
COL7A1,3.538295053726764,8.48975521535811e-32
SVOPL,-3.4093037779293884,9.140718308202591e-32
FLVCR2,-2.47951890670305,9.705915565194307e-32
ADH1C,-5.936820765819552,9.755662605199928e-32
